MM,YYYY,Date,HRS,MIN,Nest_Type,Nest_Disturbance,Y,X
6,2019,6/13/2019,,,Nest,Lost,-3.071901,126.562458
6,2019,6/15/2019,,,Nest,Lost,-3.071928,126.564891
6,2019,6/20/2019,1,30,False_Crawls,Non_Nesting,-3.072216,126.555628
6,2019,6/20/2019,23,2,Nesting_Individu,Secure,-3.068838,126.58813
7,2019,7/1/2019,,,Nest,Secure,,
7,2019,7/1/2019,,,Nest,Secure,,
7,2019,7/3/2019,23,49,Nesting_Individu,Secure,,
7,2019,7/3/2019,,,Nest,Secure,,
7,2019,7/4/2019,,,Nest,Secure,,
7,2019,7/6/2019,,,Nest,Secure,,
7,2019,7/7/2019,,,Nest,Secure,,
7,2019,7/9/2019,,,False_Crawls,Non_Nesting,,
7,2019,7/10/2019,,,Nest,Secure,,
7,2019,7/11/2019,,,Nest,Secure,,
7,2019,7/11/2019,,,False_Crawls,Non_Nesting,,
7,2019,7/12/2019,,,Nest,Secure,,
7,2019,7/12/2019,,,Nest,Secure,,
7,2019,7/13/2019,,,False_Crawls,Non_Nesting,,
7,2019,7/14/2019,,,Nest,Secure,,
7,2019,7/14/2019,,,Nest,Secure,,
7,2019,7/16/2019,,,False_Crawls,Non_Nesting,,
7,2019,7/16/2019,,,False_Crawls,Non_Nesting,,
7,2019,7/18/2019,,,Nest,Secure,,
7,2019,7/18/2019,,,Nest,Secure,,
7,2019,7/20/2019,,,Nest,Secure,,
7,2019,7/21/2019,,,Nest,Secure,,
7,2019,7/21/2019,,,Nest,Secure,,
7,2019,7/21/2019,,,Nest,Secure,,
7,2019,7/21/2019,,,Nest,Secure,,
7,2019,7/22/2019,,,Nest,Secure,,
7,2019,7/23/2019,,,Nest,Secure,,
7,2019,7/24/2019,,,Nest,Secure,,
7,2019,7/27/2019,,,False_Crawls,Non_Nesting,,
7,2019,7/27/2019,,,Nest,Secure,,
7,2019,7/27/2019,,,Nest,Secure,,
7,2019,7/28/2019,,,Nest,Secure,,
7,2019,7/30/2019,,,Nest,Secure,,
8,2019,8/1/2019,,,Nest,Secure,,
8,2019,8/1/2019,,,Nest,Secure,,
8,2019,8/2/2019,,,Nest,Secure,,
8,2019,8/3/2019,,,Nest,Secure,,
